nb_chemin,nombre_de_generation,distance
21,60,12994.583807725327
21,60,13733.920353406476
21,60,12956.137239601258
21,60,13096.89391361289
21,60,13399.143120690847
21,60,13140.281976883361
21,60,13183.776160561376
21,60,13073.544496828197
21,60,13979.250274961592
21,60,14498.056787175192
21,60,13767.534230383879
21,60,12164.144063631782
21,60,14075.473511137976
21,60,12706.23824596869
21,60,13461.238920795342
21,60,13884.581055690023
21,60,13028.409763220161
21,60,13951.505858377112
21,60,11216.454930379083
21,60,13631.135405228692
21,120,13365.51235272746
21,120,12790.231211370528
21,120,11943.795133855423
21,120,12903.688453915984
21,120,12310.624592434651
21,120,12676.865505682961
21,120,13034.52881638473
21,120,13035.356598182541
21,120,13312.46537400454
21,120,13278.378442098696
21,120,13492.777301883676
21,120,13270.885802975521
21,120,11851.582279885668
21,120,12815.509353684707
21,120,12534.785892180564
21,120,11882.962261259017
21,120,13688.698542182658
21,120,13813.137553470508
21,120,12108.051488072202
21,120,13313.695694612194
21,500,12112.23967029907
21,500,12139.62712241646
21,500,12635.017679372038
21,500,12121.343131194113
21,500,11187.578657538268
21,500,12322.529717189522
21,500,11494.512815626596
21,500,11773.856131678485
21,500,11163.482644454216
21,500,12541.858763425666
21,500,10911.340973392505
21,500,12263.620913397195
21,500,12732.142494644706
21,500,11130.129939056418
21,500,12383.41054386843
21,500,11239.956374371397
21,500,11890.937702123494
21,500,12623.448147222532
21,500,11505.717894482512
21,500,11697.57592462079
21,1000,11932.82778710806
21,1000,11746.27402312421
21,1000,12768.202637435574
21,1000,12249.111725104596
21,1000,11670.466515964878
21,1000,11896.266109105109
21,1000,12164.809558655643
21,1000,11999.340648564637
21,1000,12060.635964654115
21,1000,11912.679786979319
21,1000,12184.200546942106
21,1000,12050.365594810364
21,1000,12232.11629951548
21,1000,12062.197672114924
21,1000,11728.548692422668
21,1000,12266.32418224043
21,1000,12200.064353482496
21,1000,11668.7216596123
21,1000,11774.993174856512
21,1000,11247.452105801716
21,10000,11077.763134203291
21,10000,11246.061341931636
21,10000,11047.009763336111
21,10000,11169.262879756874
21,10000,10769.121381278192
21,10000,10980.270897767063
21,10000,11091.266463230439
21,10000,10768.596056618577
21,10000,10755.831195577106
21,10000,11095.789752219482
21,10000,10737.108390860587
21,10000,11290.265038060945
21,10000,10564.494905251282
21,10000,10517.197318030489
21,10000,10803.926167813766
21,10000,10602.67964588731
21,10000,9857.316676432007
21,10000,10973.39241217473
21,10000,11280.572054926775
21,10000,11179.325260928501
30,60,12686.925144431907
30,60,12707.219093575564
30,60,11879.08191260004
30,60,13086.21212887926
30,60,11598.953628660469
30,60,12233.740462540876
30,60,14230.806033604362
30,60,12874.508531583362
30,60,11283.089827827063
30,60,12718.24604552116
30,60,13586.1750965954
30,60,12286.474926091838
30,60,13793.475729511789
30,60,13228.633584561056
30,60,12660.46082262402
30,60,13406.85542377166
30,60,12869.303930005652
30,60,12268.2423043983
30,60,13296.075295663104
30,60,13799.874721470038
30,120,12464.698270633568
30,120,12215.97604324652
30,120,13087.253216467847
30,120,12187.376720653472
30,120,13395.24288775165
30,120,11631.627321247342
30,120,11477.077235936487
30,120,11548.48777270922
30,120,12787.712542455822
30,120,13129.461595696594
30,120,12007.547698692637
30,120,13120.467357186644
30,120,10997.064834676621
30,120,11416.397710326168
30,120,11679.86829425312
30,120,13531.070087520358
30,120,12067.173785746207
30,120,11366.551655812318
30,120,12571.78805335481
30,120,12502.399723247527
30,500,10980.69483468763
30,500,11884.398683421785
30,500,10673.474268887769
30,500,11689.980498126879
30,500,11952.89753275715
30,500,11194.951825907985
30,500,10770.55016137445
30,500,11454.59079579041
30,500,11307.03218497332
30,500,11770.97576851111
30,500,11887.467541899789
30,500,11233.455708923097
30,500,11402.669680602914
30,500,11103.845092112824
30,500,11730.65735494542
30,500,11570.152935615648
30,500,11723.904940277773
30,500,10565.487429551817
30,500,11596.014322411538
30,500,11883.272735458635
30,1000,11499.975472844068
30,1000,10801.719993725943
30,1000,11191.839493643554
30,1000,11294.91210047009
30,1000,11366.402859622523
30,1000,11131.136323758776
30,1000,11618.20305960262
30,1000,10597.86557692384
30,1000,11370.344509090592
30,1000,11058.968324196703
30,1000,10400.004333635261
30,1000,11455.789585957064
30,1000,11321.145366874558
30,1000,11954.184647578757
30,1000,10547.549508974098
30,1000,11416.073848365466
30,1000,10460.675208493944
30,1000,11669.612619560712
30,1000,10774.605194633534
30,1000,11283.486101417342
30,10000,9736.306140909572
30,10000,10409.505789172103
30,10000,10623.383574697362
30,10000,10334.987478044304
30,10000,10554.103395375258
30,10000,10331.211951025636
30,10000,10377.040405745363
30,10000,10599.490707250126
30,10000,10217.705234565019
30,10000,10206.362799523631
30,10000,10456.990157206876
30,10000,10293.226863766431
30,10000,10510.142703150366
30,10000,10581.835195194066
30,10000,10383.129716865678
30,10000,9620.50783592087
30,10000,10348.222127967065
30,10000,10520.643371532446
30,10000,10667.975583976078
30,10000,10686.40854121921
33,60,12592.213918410736
33,60,12985.028321774415
33,60,13095.324457123956
33,60,13222.97733967931
33,60,12480.866316131098
33,60,13669.131573736864
33,60,12809.46641834614
33,60,12741.371558966082
33,60,11128.331285362476
33,60,13437.49816195844
33,60,12476.523440874222
33,60,13329.729925335268
33,60,13520.940806583374
33,60,13259.506942717151
33,60,13014.277037971557
33,60,12687.302037656242
33,60,12166.283719313209
33,60,13211.060810218496
33,60,11625.76109479497
33,60,12600.32427230405
33,120,12595.873707473347
33,120,11564.987885647499
33,120,11709.876153402774
33,120,11298.88830204345
33,120,12897.19078028753
33,120,11318.397577272104
33,120,11851.041334628215
33,120,12755.383639958049
33,120,11651.996309500346
33,120,12719.767104244716
33,120,11625.017740031473
33,120,10998.029197235832
33,120,12151.776804349094
33,120,13155.27112104906
33,120,13338.31324220769
33,120,12084.918221204714
33,120,11437.376073565894
33,120,12512.100582639483
33,120,12446.578437640452
33,120,11285.054312678185
33,500,11597.544175590074
33,500,11304.018826678783
33,500,11426.912134658012
33,500,11260.80803142762
33,500,11708.506113868089
33,500,11501.843912558767
33,500,11763.198034317462
33,500,11250.665743036448
33,500,11443.0707340978
33,500,10645.112204941217
33,500,10922.821393717644
33,500,11895.739833361018
33,500,12053.376308138066
33,500,11702.606535119921
33,500,11683.310686665294
33,500,11537.373255912951
33,500,10010.495194344863
33,500,10979.779766539628
33,500,11625.536813867344
33,500,10887.869115451713
33,1000,11353.731934755635
33,1000,10741.748162895832
33,1000,11220.568311302593
33,1000,11266.72303917813
33,1000,11006.447846287017
33,1000,11403.298774839168
33,1000,11085.822931950404
33,1000,11877.839780642158
33,1000,11921.430963458233
33,1000,10280.027291512191
33,1000,10764.365399548502
33,1000,10337.403478158662
33,1000,10796.586716330045
33,1000,11697.197371503138
33,1000,10655.348621119007
33,1000,10577.523827565752
33,1000,11142.240410624057
33,1000,11053.85060088346
33,1000,11203.858888868683
33,1000,11501.62918652578
33,10000,10358.278206018289
33,10000,10295.730684487387
33,10000,10752.730122476327
33,10000,10554.978901178029
33,10000,10387.278569672693
33,10000,10680.275051135026
33,10000,10103.664703485436
33,10000,10309.613715008734
33,10000,10551.8932414888
33,10000,10591.838067889466
33,10000,10607.204055393087
33,10000,10455.731443524015
33,10000,10808.738817535279
33,10000,9942.861763517078
33,10000,10468.36725086731
33,10000,10205.271328470788
33,10000,9550.28145348705
33,10000,10619.100383133302
33,10000,10147.464053274145
33,10000,10401.728326084994
36,60,11796.50855432354
36,60,13293.312808794719
36,60,13322.465672468205
36,60,12516.723668339453
36,60,12511.857015144822
36,60,11080.850224024685
36,60,11894.570329964152
36,60,12765.705357800092
36,60,12874.050985219686
36,60,13090.270109978164
36,60,13715.594712117329
36,60,11488.170975972087
36,60,13189.108723430218
36,60,13258.11228969241
36,60,13320.069519787492
36,60,12778.70864695775
36,60,13116.148379761598
36,60,11560.630239483718
36,60,11831.852043573586
36,60,12561.855955848148
36,120,12051.780376151733
36,120,12403.209064445631
36,120,11941.666948914579
36,120,12351.152554604036
36,120,11773.652601016607
36,120,11966.317601436722
36,120,11669.740776730825
36,120,12027.72580101893
36,120,11745.774107828633
36,120,11672.083867888385
36,120,11954.091805306396
36,120,11217.775255492264
36,120,11402.12468102246
36,120,11028.452421033046
36,120,11377.147807291203
36,120,11241.241514502048
36,120,11552.463602523307
36,120,12537.942574076935
36,120,11069.851161633263
36,120,12506.322043885251
36,500,11797.893596907961
36,500,11919.465328194785
36,500,11314.690639957871
36,500,11086.982179094259
36,500,10376.905098356276
36,500,11459.063257739312
36,500,11372.670355848
36,500,10165.365377901451
36,500,11348.675644640227
36,500,11623.584879609503
36,500,11117.404479248062
36,500,11591.502508589738
36,500,11008.936381849593
36,500,11543.196094280876
36,500,11625.481547876325
36,500,11380.849663025458
36,500,10799.336296461166
36,500,11011.25708075149
36,500,11160.16095465867
36,500,11841.877552718066
36,1000,11636.318515478653
36,1000,11209.639952597148
36,1000,11021.806885602542
36,1000,10262.078696747725
36,1000,11401.60450001594
36,1000,10915.734428480928
36,1000,10923.777189695305
36,1000,11538.694853835941
36,1000,10896.50550842375
36,1000,11346.558209988112
36,1000,10795.504158221323
36,1000,11445.610951258843
36,1000,10802.51206920505
36,1000,11065.261154778203
36,1000,11061.616402951558
36,1000,10767.879962719951
36,1000,10620.946497676769
36,1000,10663.609201642768
36,1000,10545.380040107197
36,1000,11044.23909180463
36,10000,9832.788952588398
36,10000,10505.371516104242
36,10000,10368.885006985629
36,10000,10155.212725090732
36,10000,9877.259639898884
36,10000,10882.829974322422
36,10000,10093.813400502253
36,10000,9753.567377169591
36,10000,10014.461942836646
36,10000,10547.087691939854
36,10000,10355.442854936467
36,10000,10435.789753720428
36,10000,10808.657423379937
36,10000,10419.846942653347
36,10000,10350.161502509443
36,10000,10755.835582426758
36,10000,10492.990106510186
36,10000,10157.13964612645
36,10000,10061.730700419383
36,10000,10345.12531198068
39,60,12240.404692930479
39,60,12432.230228805316
39,60,11615.086844018277
39,60,12529.38222996887
39,60,12385.604955714336
39,60,13101.332852125814
39,60,11560.614333189513
39,60,12578.666494683033
39,60,12828.865373906272
39,60,12275.72542054765
39,60,11962.966913522081
39,60,12895.124436346014
39,60,13310.273306018049
39,60,13259.879678256411
39,60,12870.749553617572
39,60,11833.576953368443
39,60,12613.04401407934
39,60,13444.319478119161
39,60,12273.196563958187
39,60,12257.581890135183
39,120,12758.763441963296
39,120,12021.31183979478
39,120,12284.1906455917
39,120,11160.657925938076
39,120,12003.771335006782
39,120,11789.089737561488
39,120,11978.523328874378
39,120,11685.917137372448
39,120,12342.777796439317
39,120,13184.685256658839
39,120,12144.758472583235
39,120,11996.156292606343
39,120,11788.992132001698
39,120,12103.35274285089
39,120,11183.685360052494
39,120,11631.98143712019
39,120,11875.587042076368
39,120,12417.788812025168
39,120,12220.125074743208
39,120,12554.255719187448
39,500,10886.168152504719
39,500,11049.431540020496
39,500,10631.765258369302
39,500,10813.327360144373
39,500,11532.494222245992
39,500,11315.384159603735
39,500,11139.67850635997
39,500,11140.661617350397
39,500,11683.303463611075
39,500,10733.732109206272
39,500,10573.0747158387
39,500,11693.062161126009
39,500,11675.522651151774
39,500,11626.65880346715
39,500,11692.34891020216
39,500,11459.41454986533
39,500,11512.595182276922
39,500,11468.221334051697
39,500,11717.638167983352
39,500,10605.117701582314
39,1000,11572.558667525846
39,1000,10354.485575464818
39,1000,11606.833425437195
39,1000,10896.834297680885
39,1000,10969.894634644803
39,1000,10717.606326763282
39,1000,10627.387567227768
39,1000,11550.781037804885
39,1000,11153.875644906591
39,1000,10046.352724130353
39,1000,11202.959571275887
39,1000,10752.471428344488
39,1000,11081.521610178715
39,1000,10339.286828052189
39,1000,10940.476516209297
39,1000,10954.88295853825
39,1000,11502.552474335993
39,1000,11375.9999175456
39,1000,11503.751218873464
39,1000,10429.262529112313
39,10000,10346.568075270829
39,10000,10193.077012359741
39,10000,9528.575790619998
39,10000,9726.300351773865
39,10000,10593.625645829967
39,10000,10138.74180846351
39,10000,10511.00824159401
39,10000,10049.15061852668
39,10000,10505.282089609702
39,10000,10358.463305216503
39,10000,9655.609781370145
39,10000,10105.06794808972
39,10000,10261.659908721966
39,10000,10454.392734122415
39,10000,10182.609481020248
39,10000,10127.216292001143
39,10000,10472.958548970604
39,10000,10517.49819836156
39,10000,10688.07366080727
39,10000,10461.70732469271
42,60,12294.5635152857
42,60,11773.129109618374
42,60,12586.358967791119
42,60,12183.83522123162
42,60,12989.359077153626
42,60,13626.210686350149
42,60,11202.54932109692
42,60,12661.354981214527
42,60,12452.879444539141
42,60,12805.431351291958
42,60,13238.58314160489
42,60,12150.739755342649
42,60,11758.805521242642
42,60,12439.643477144204
42,60,12012.592567652817
42,60,11700.64185878297
42,60,11631.371973076857
42,60,11653.198747444081
42,60,12649.730314923225
42,60,13112.444185019513
42,120,11570.412007045998
42,120,12781.081285163751
42,120,12192.26580691449
42,120,12778.4443800932
42,120,10527.270916386424
42,120,11873.532443804268
42,120,12427.464888299022
42,120,11501.655140680714
42,120,11685.087417647957
42,120,12045.746160912327
42,120,11620.633893585757
42,120,12156.05837382093
42,120,11499.945054897991
42,120,11242.354117538203
42,120,12540.981694948163
42,120,12377.519253704342
42,120,12662.09197710243
42,120,11118.218817971927
42,120,12093.383746288551
42,120,12109.578295803156
42,500,11128.897756023525
42,500,10724.556276626095
42,500,11335.455122273663
42,500,11364.957050282115
42,500,11189.00809862015
42,500,10796.332901770762
42,500,11823.47429142556
42,500,11096.80953995592
42,500,11470.140890836758
42,500,11332.736890257269
42,500,11193.946197281537
42,500,11307.746085483283
42,500,10901.854673910739
42,500,10590.358906665768
42,500,11946.74942568835
42,500,10309.023627095783
42,500,11099.859050206906
42,500,11250.708834761417
42,500,11586.71345855723
42,500,11495.744172624256
42,1000,10544.0939504091
42,1000,11034.954479285458
42,1000,10826.495651541065
42,1000,11628.162850755656
42,1000,10821.153078910338
42,1000,11547.843806215053
42,1000,10252.499240416673
42,1000,10592.242376712727
42,1000,11291.72237996482
42,1000,10878.087270821994
42,1000,10887.462822536721
42,1000,11190.27722862297
42,1000,10024.87596920443
42,1000,10615.258287724064
42,1000,10534.647397179255
42,1000,11153.880752686673
42,1000,11078.728927991231
42,1000,11042.905923297929
42,1000,10936.171489479591
42,1000,10701.088387986365
42,10000,10172.546125180446
42,10000,10267.09192791026
42,10000,10295.238018326272
42,10000,10016.682919099387
42,10000,10313.550241544663
42,10000,9819.939040308227
42,10000,10115.499278957286
42,10000,10426.391296949836
42,10000,10481.505799121916
42,10000,10672.09517067128
42,10000,10049.682155783568
42,10000,10270.558004899392
42,10000,10471.684786663955
42,10000,10107.11855504789
42,10000,9630.664954785832
42,10000,10340.604400465023
42,10000,10165.271577649599
42,10000,10076.171508994175
42,10000,10306.83529725543
42,10000,10366.682445476927
